old value	new value
Chang Kiaw Lan	Chang Kiaw Lan
Charles A. Geyers	Charles A. Geyers
Charles Bullard	Charles Bullard
Charles C. Sperrepro	Charles C. Sperrepro
Charles F. Durant	Charles F. Durant
Charles Fraser	Charles Fraser
Charles H. Shaw	Charles H. Shaw
Charles H. Townsend	Charles H. Townsend
Chas. H. Townsend	Charles H. Townsend
Charles J. Chamberlain	Charles J. Chamberlain
Charles L. Smith	Charles L. Smith
Charles S. Sperry	Charles S. Sperry
Charles Templeton	Charles Templeton
Charles Templeton Crocker	Charles Templeton Crocker
Chauvin	Chauvin
Cherbourg	Cherbourg
Cherif	Cherif
Chih-Hney Hwa	Chih-Hney Hwa
Chin-Chih Jao	Chin-Chih Jao
Chris K. Kjeldsen	Chris K. Kjeldsen
Chu Chia Wang	Chu Chia Wang
Clara B. Caldwell	Clara B. Caldwell
Clara K. Leavitt	Clara K. Leavitt
Claud Rutter	Claud Rutter
Claudio Battelli	Claudio Battelli
Clyde T. Reed	Clyde T. Reed
Dr. Cocks	Cocks
Codero	Codero
Codero-Tungpalan	Codero, Tungpalan
Colin C. Sanborn	Colin C. Sanborn
Colinvaux	Colinvaux
Collins	Collins
Colton Russell	Colton Russell
Conrad Indebetou	Conrad Indebetou
Conrad Leinbaugh	Conrad Lembaugh
Conrad Leinbough	Conrad Lembaugh
Conrad Lembaugh	Conrad Lembaugh
Conrad Limbaough	Conrad Limbaugh
Conway MacMillan	Conway MacMillan
Conway MacMillan, D. T. MacDougal	Conway MacMillan, D. T. MacDougal
Cook	Cook
Miss Cook	Cook
Cooley	Cooley
Cora E. Pearse	Cora E. Pease
Cora Pease	Cora E. Pease
Mrs. C. E. Pearse	Cora E. Pease
Mrs. Cora E. Pearse	Cora E. Pease
Cora E. Pearse, Eloise Butler	Cora E. Pease, Eloise Butler
Cora E. Pease, Eloise Butler	Cora E. Pease, Eloise Butler
Cora Pease, Eloise Butler	Cora E. Pease, Eloise Butler
Mrs. C. E. Pearse, Miss Eloise Butler	Cora E. Pease, Eloise Butler
Mrs. C. E. Pease	Cora E. Pease, Eloise Butler
Mrs. C. E. Pease and Miss Eloise Butler	Cora E. Pease, Eloise Butler
Mrs. C. E. Pease, Miss E. Butler	Cora E. Pease, Eloise Butler
Mrs. C. E. Pease, Miss Eloise Butler	Cora E. Pease, Eloise Butler
Mrs. Cora E. Pearse, Miss Eloise Butler	Cora E. Pease, Eloise Butler
Cora H. Clarke	Cora H. Clarke
Cora Shoop	Cora Shoop
Corder-Tambao-de la Cruz	Corder, Tambao, de la Cruz
Cordero	Cordero
Cordero et. al.	Cordero
Cordero, Cordero et. al.	Cordero
Cordero, et. al.	Cordero
Cordero- de la Cruz	Cordero, de la Cruz
Cordero-de la Cruz	Cordero, de la Cruz
Cordero, de la Cruz	Cordero, de la Cruz
Cordero-Fernando	Cordero, Fernando
Cordero, Fernando	Cordero, Fernando
Cordero, Lopez	Cordero, Lopez
Cordero-Reynoso-Celis	Cordero, Reynoso, Celis
Cordero, Reynoso-Celis	Cordero, Reynoso, Celis
Cordero, Reynoso, Celis	Cordero, Reynoso, Celis
Cordero-Reyaoso-Fernando	Cordero, Reynoso, Fernando
Cordero-Reynesa-Fernando	Cordero, Reynoso, Fernando
Cordero-Reyneso-Fernando	Cordero, Reynoso, Fernando
Cordero-Reynoso-Fernando	Cordero, Reynoso, Fernando
Cordero, Reynoso-fermamando	Cordero, Reynoso, Fernando
Cordero, Reynoso-Fernando	Cordero, Reynoso, Fernando
Cordero, Reynoso, Fernando	Cordero, Reynoso, Fernando
Cordero, Reynoso. Fernando	Cordero, Reynoso, Fernando
Cordero and Tungpalan, Tungpalan	Cordero, Tungpalan
Cordero-Thungpalan	Cordero, Tungpalan
Cordero-Tungpalan	Cordero, Tungpalan
Cordero, Tungpalan	Cordero, Tungpalan
Cordero-Ust Field Bot. '77	Cordero, U. G. T. Field Bot. 1977
Cordero, UGT Field Bot. 77	Cordero, U. G. T. Field Bot. 1977
Cordero, UST Field Bot. '77	Cordero, U. G. T. Field Bot. 1977
Cordero, Vendivil	Cordero, Vendivil
Cordero-Yambao-de la Cruz	Cordero, Yambao, de la Cruz
Cordero, Yambao de la Cruz	Cordero, Yambao, de la Cruz
Cordero, Yambao, de la Cruz	Cordero, Yambao, de la Cruz
Cordero, Yambao, dela Cruz	Cordero, Yambao, de la Cruz
Cordero, Yambo, De la Cruz	Cordero, Yambao, de la Cruz
Countess Lovatelli	Countess Lovatelli
Crocker	Crocker
Crocker 39	Crocker
Crodel	Crodel
Curso Bot. Marina	Curso Bot. Marina
Curtis	Curtis
Curtis Jackson	Curtis, Jackson
Curtiss	Curtiss
Cyn Dartez	Cyn Dartez
Cyril Crossland	Cyril Crossland
Cyrill Crossland	Cyril Crossland
Dr. Cyril Crossland	Cyril Crossland
Cyril Story	Cyril Story
D. A. Challis	D. A. Challis
D. A. Saunder	D. A. Saunder
D. A. Saunders	D. A. Saunder
D. Anderson	D. Anderson
D. B. Griffe	D. B. Griffe
D. C. Eaton	D. C. Eaton
D. C. Ghijskes	D. C. Guijskes
D. C. Guijskes	D. C. Guijskes
D. C. Nutt	D. C. Nutt
D. C. Ohusted	D. C. Ohusted
D. Carlock	D. Carlock
D. Cronan	D. Cronan
D. E. G. irvine	D. E. G. Irvine
D. E. Harper, Jr.	D. E. Harper Jr.
D. E. Harper, Jr., Robert Setzer	D. E. Harper Jr., Robert Setzer
D. E. Hylmo	D. E. Hylmo
D. E. Hylmö	D. E. Hylmo
D. F. Kapraun	D. F. Kapraun
D. Frederick Kapraun	D. Frederick Kapraun
D. Fredrick Kapraun	D. Frederick Kapraun
D. G.	D. G.
D. Graffe	D. Graffe
D. Griffths	D. Griffths
D. Grouffe	D. Grouffe
D. H.	D. H.
D. H. Kim, Espinoza, and Weldt	D. H. Kim, Espinoza, Weldt
D. H. S.	D. H. S.
D. H. W.	D. H. W.
D. Haskins	D. Haskins
D. Hopper	D. Hopper
D. Hylmö	D. Hylmo
D. J. Lugg	D. J. Lugg
D. L. Ballantine	D. L. Ballantine
D. L. Ballatine	D. L. Ballantine
D. L. Rabenhorst	D. L. Rabenhorst
D. Levi	D. Levi
D. Levi Morenos	D. Levi-Morenos
D. Levi-Morenos	D. Levi-Morenos
D. Lovto, A. V. Duthie	D. Lovto, A. V. Duthie
D. M.	D. M.
D. M. de Boer	D. M. de Boer
D. M. Moore	D. M. Moore
D. M. Radloff, A. V. Duthie	D. M. Radloff, A. V. Duthie
D. M. Reynolds	D. M. Reynolds
D. Menzel	D. Menzel
D. N. Davies, A. V. Duthie	D. N. Davies, A. V. Duthie
D. P. Abbott	D. P. Abbott
D. P. Abbott, Bakalimar, R. R. Harry	D. P. Abbott, Bakalimar, R. R. Harry
D. P. Abbott, I. A. Abbott	D. P. Abbott, I. A. Abbott
D. P. Abbott, Nemenzo	D. P. Abbott, Nemenzo
D. P. Abbott, R. Harry	D. P. Abbott, R. Harry
D. P. Abbott, R. Harry and Yauiseruau	D. P. Abbott, R. Harry, Yaniseman
D. P. Abbott, R. Harry, Yaniseman	D. P. Abbott, R. Harry, Yaniseman
D. P. Abbott, Yaniseman	D. P. Abbott, Yaniseman
D. P. Abbott, Yaniseman, F. M. Bayer	D. P. Abbott, Yaniseman, F. M. Bayer
D. P. Abbott, Yaniseman, F.M. Bayer	D. P. Abbott, Yaniseman, F. M. Bayer
D. P. Abbott, ZY. Kondo	D. P. Abbott, Z. Y. Kondo
D. P. Maddux	D. P. Maddux
D. P. Rogers	D. P. Rogers
D. P. Rogers, I. A. Abbott	D. P. Rogers, I. A. Abbott
D. R. S.	D. R. S.
D. R. Wickis	D. R. Wickis
D. Reid Wiseman	D. Reid Wiseman
D. Robertson	D. Robertson
D. S. Horning	D. S. Horning
D. S. JJohnson	D. S. Johnson
D. S. Johnson	D. S. Johnson
D. Serbousek	D. Serbousek
D. Van Hangstreen	D. van Huyssteem
D. van Huyssteem	D. van Huyssteem
D. Vieillard	D. Vieillard
D. W. Davies	D. W. Davies
D. W. Gray	D. W. Gray
D. W. Strasburg	D. W. Strasburg
D. Y.	D. Y.
Da Korab	Da Korab
Daemel	Daemel
Dalmel	Daemel
Damel	Daemel
Daguerre	Daguerre
Daisy Marchant	Daisy Marchant
Mrs. Daisy R. Marchant	Daisy R. Marchant
Daldini	Daldini
Dan Pace	Dan Pace
Daniel Cady Eaton	Daniel Cady Eaton
Darwin Horn	Darwin Horn
Daryl Amm Gilson	Daryl Amm Gilson
Daryl Ann Gilson	Daryl Amm Gilson
Daryl Phariss	Daryl Phariss
Dave Devlin	Dave Devlin
David Bray, Minnie Reed	David Bray, Minnie Reed
David E. Hylmo	David E. Hylmo
David E. Hylmö	David E. Hylmo
David Griffiths	David Griffiths
David H. Lorence	David H. Lorence
David Hylmo	David Hylmo
David Hylmö	David Hylmo
David L. Ballantine	David L. Ballantine
David L. Ballantine, Nilda E. Aponte	David L. Ballantine, Nilda E. Aponte
David Ladd	David Ladd
David N. Young	David N. Young
David Starr Jordan	David Starr Jordan
David White	David White
Davis	Davis
Dawson	Dawson
Dayson	Dawson
De Alton Saunders	De Alton Saunders
DeAlton Saunders	De Alton Saunders
De Barn	de Barn
De Barv	de Barn
De brebisson	De Brebisson
De Brébisson	De Brebisson
De Brèbisson	De Brebisson
De Notaris	De Notaris
De-Notaris	De Notaris
DeNotaris	De Notaris
De Toni	De Toni
Delashaw	Delashaw
Delponte	Delponte
Delzie Delmaree	Delzie Demaree
Delzie Demaree	Delzie Demaree
Delzie Demaree, M. Willeana Lagerh	Delzie Demaree, M. Willeana Lagerh
Delzie Demaree, Marjorie Thomason	Delzie Demaree, Marjorie Thomason
Dennis Hanisak	Dennis Hanisak
Desmajiery	Desmajiery
Desm	Desmazieres
Desmazieres	Desmazieres
Dexter Thompson	Dexter Thompson
Dickie	Dickie
Dr. Dickie	Dickie
Dieter Muller	Dieter Muller
Dieter Müller	Dieter Muller
Domina S. Akermark	Domina S. Akermark
Domina S. Åkermark	Domina S. Akermark
Domingo Velaco	Domingo Velasco
Domingo Velasco	Domingo Velasco
Don Hockaday	Don Hockaday
Donald J. Hankla	Donald J. Hankla
Donald Richards	Donald Richards
Donald Richards & Francis Drouet	Donald Richards, Francis Drouet
Donald Richards, Francis Drouet	Donald Richards, Francis Drouet
Donald Richards, J. C. Strickland	Donald Richards, J. C. Strickland
Donald Richards, Lawrence J. King	Donald Richards, Lawrence J. King
Donegal	Donegal
Dong Ho Kim	Dong Ho Kim
Donn Fukuda	Donn Fukuda
Doug Birch	Doug Birch
Doug Foster, John Nelson	Doug Foster, John Nelson
Douglas Davis, Isabelle A. Abbott	Douglas Davis, Isabelle A. Abbott
Dredge	Drege
Drege	Drege
Dregr	Drege
Dridge	Drege
Dror Angel	Dror Angel
Droted	Drouet
Drouet & Richards	Drouet, Richards
Duby	Duby
Duemel	Duby
Dufour	Dufour
Dufour, Piccone	Dufour, Piccone
Duke Kahanamoku, Minnie Reed	Duke Kahanamoku, Minnie Reed
Durieu de Maisonneuve	Durieu de Maisonneuve
Durieu de Maissonneuve	Durieu de Maisonneuve
E. A. Arndt	E. A. Arndt
E. A. Davey	E. A. Arndt
Ed. A. Batters	E. A. Batters
Rev. E. A. Eaton	E. A. Eaton
E. A. L. Batters	E. A. L. Batters
E. A. Lawrence	E. A. Lawrence
E. A. Norse	E. A. Norse
E. Abe	E. Abe
E. Agsteribbe	E. Agsteribbe
E. Asenius	E. Asenius
E. B.	E. B.
E. B. Copeland	E. B. Copeland
E. Baardseth	E. Baardseth
E. Bailey	E. Bailey
E. Barron, A. V. Duthie	E. Barron, A. V. Duthie
E. Batters	E. Batters
Ed. Batters	E. Batters
Edv. Bay	E. Bay
E. Bompard	E. Bompard
Dr. E. Bornet	E. Bornet
E. Bornet	E. Bornet
Ed Bornet	E. Bornet
Ed. Bornet	E. Bornet
E. Bourgean	E. Bourgean
E. Breuner, A. V. Duthie	E. Breuner, A. V. Duthie
E. Broddesson	E. Broddesson
E. C. Oliveira	E. C. Oliveira
E. C. Teodorescu	E. C. Teodorescu
E. C. Teodoreseu	E. C. Teodorescu
E. C. V.	E. C. V.
E. Cerrate	E. Cerrate
E. Cheel	E. Cheel
E. Cosson	E. Cosson
E. D. Merrill	E. D. Merrill
E. Dahl	E. Dahl
E. de Toni	E. De Toni
Dr. E. De Wildeman	E. de Wildeman
E. de Wildeman	E. de Wildeman
E. deWaal	E. deWaal
E. Duemel	E. Duemel
E. Dumuel	E. Duemel
E. E. Grove	E. E. Grove
E. E. Maire	E. E. Maire
E. E. Nielsen, O.R. Younge	E. E. Nielsen, O. R. Younge
E. Estampador	E. Estampador
E. F. Dresler	E. F. Dresler
E. F. Kok	E. F. Kok
E. Faareund	E. Faareund
E. Faton	E. Faxon
E. Faxon	E. Faxon
E. Fenix	E. Fenix
Ed Flynn	E. Flynn
E. Foldats	E. Foldats
E. Forbes	E. Forbes
E. Fries	E. Fries
E. G. Britton	E. G. Britton
E. G. Collado	E. G. Collado
E. G. Menez	E. G. Menez
E. G. Meñez	E. G. Menez
E. Gantt, N. J. Eiseman	E. Gantt, N. J. Eiseman
E. George	E. George
Herb E Geirge	E. George
E. Göldner	E. Goldner
E. Gonse	E. Gonse
E. Graeffe	E. Graeffe
E. Gräffe	E. Graeffe
Ed Griffe	E. Graeffe
E. Gutierrez	E. Gutierrez
E. H. Eames	E. H. Eames
E. H. Nordhoff	E. H. Nordhoff
E. H. Rainford	E. H. Rainford
E. H. Wahlén	E. H. Wahlen
E. Haddad	E. Haddad
E. Hoddad	E. Haddad
E. Hall	E. Hall
E. Hempel	E. Hempel
E. Hennipman	E. Hennipman
E. Herou	E. Herou
E. Hohel	E. Hohel
E. Hylmö	E. Hylmo
E. J. Alexander	E. J. Alexander
E. J. Baufield	E. J. Baufield
E. J. H. Corner	E. J. H. Corner
E. J. Kuenzler	E. J. Kuenzler
E. -J. Neyraut	E. J. Neyraut
E. J. Neyraut	E. J. Neyraut
E. J. Palmer	E. J. Palmer
E. J. Valeur	E. J. Valeur
E. Jaasund	E. Jaasund
E. Jäderholm	E. Jaderholm
E. Jeanpert	E. Jeanpert
Ed. Jeanpert	E. Jeanpert
E. K. Ganesan	E. K. Ganesan
E. K. J.	E. K. J.
E. K. Janaki Ammal	E. K. Janaki Ammal
E. K. Janaki Ammal, E. W. Erlanson	E. K. Janaki Ammal, E. W. Erlanson
Ed Ketterer	E. Ketterer
E. L. Nielsen	E. L. Nielsen
E. L. Stephens	E. L. Stephens
E. L. Wight, A. V. Duthie	E. L. Wight, A. V. Duthie
E. Leblond	E. Leblond
E. M. Bardell	E. M. Bardell
E. M. Delf	E. M. Delf
E. M Holmes	E. M. Holmes
E. M. Holmes	E. M. Holmes
Curante E. M. Holms	E. M. Holms
E. M. Hugo, A. V. Duthie	E. M. Hugo, A. V. Duthie
E. Macklin	E. Macklin
E. Markother	E. Markotter
E. Markotter	E. Markotter
E. Matsuyama	E. Matsuyama
Ed. Moul	E. Moul
E. N. Transeau	E. N. Transeau
E. P Killip	E. P. Killip
E. P. Killip	E. P. Killip
E. P. Killip, A. C. Smith	E. P. Killip, A. C. Smith
E. P. Maratos, A. V. Duthie	E. P. Maratos, A. V. Duthie
E. P. Meinecke	E. P. Meinecke
E. P. Sheldon	E. P. Sheldon
E. Palmatier	E. Palmatier
E. Palmer	E. Palmer
E. Quisumbing	E. Quisumbing
E. R. Lake	E. R. Lake
E. R. Proctor	E. R. Proctor
E. S. Bastin	E. S. Bastin
E. S. Marais	E. S. Marais
E. S. Mavais	E. S. Marais
E. S. Sivona	E. S. Zinova
E. S. Zinova	E. S. Zinova
Edm. Schuh	E. Schuh
E. Simon	E. Simon
E. Stizenberger	E. Stizenberger
E. Stizengerge	E. Stizenberger
E. Strauss, A. V. Duthie	E. Strauss, A. V. Duthie
E. Th. Fries	E. T. Fries
E. T. Harper, S. A. Harper	E. T. Harper, S. A. Harper
E. T. Moul	E. T. Moul
E. T. Rose, F. Drouet	E. T. Rose, F. Drouet
E. Teodorescu	E. Teodorescu
E. Thomas	E. Thomas
E. v. D. Lingen	E. V. D. Lingen
E. W. B.	E. W. B.
E. Wanderly	E. Wanderly
E. Werdermann	E. Werdermann
E. Winker	E. Winker
E. Wollaston	E. Wollaston
E. Wunderly	E. Wunderly
E. Y. Dawson, Bruce Halstead & assistants	E. Y. Dawson, Bruce Halstead and assistants
E. Y. Dawson, D. Fork	E. Y. Dawson, D. Fork
E. Y. Dawson, Jose Domentay	E. Y. Dawson, Jose Domentay
E. Y. Dawson, W. Rudersdorf	E. Y. Dawson, W. Rudersdorf
E. Y. D.	E. Yale Dawson
E. Y. Dawson	E. Yale Dawson
E. Yale '	E. Yale Dawson
E. Yale Daweson	E. Yale Dawson
E. yale Dawson	E. Yale Dawson
E.Y. Dawson	E. Yale Dawson
E.Y.D.	E. Yale Dawson
E.Yale Dawson	E. Yale Dawson
Y. Yale Dawson	E. Yale Dawson
E. Yale Dawson, aylthon B. Joly	E. Yale Dawson, Aylthon B. Joly
E. Yale Dawson, C. Maxine Dawson	E. Yale Dawson, C. Maxine Dawson
E. Yale Dawson, D. Fork	E. Yale Dawson, D. Fork
E. Yale Dawson, David Fork	E. Yale Dawson, David Fork
E. Yale Dawson, Jose Domantay	E. Yale Dawson, Jose Domantay
E. Yale Dawson, M. S. Doty	E. Yale Dawson, M. S. Doty
E. Yale Dawson, M. S. Doty, J. Newhouse	E. Yale Dawson, M. S. Doty, J. Newhouse
E. Yale Dawson, M.S. Doty, J. Newhouse	E. Yale Dawson, M. S. Doty, J. Newhouse
E. Yale Dawson, Maxwell S. Doty	E. Yale Dawson, Maxwell S. Doty
E. Yale Dawson, Maxwell S. Doty, J. Newhouse	E. Yale Dawson, Maxwell S. Doty, J. Newhouse
E. Yale Dawson and W. Rudersdorf	E. Yale Dawson, W. Rudersdorf
E. Yale Dawson and W. Rudersdorf, W. Rudersdorf	E. Yale Dawson, W. Rudersdorf
E. Yale Dawson, W. Rudersdorf	E. Yale Dawson, W. Rudersdorf
E. Yale Dawson, Y. Yamada, J. Tokida, Y. Nakamura	E. Yale Dawson, Y. Yamada, J. Tokida, Y. Nakamura
E. Zenkova	E. Zenkova
Earl T. Rose, F. Drouet	Earl T. Rose, F. Drouet
E. Zablackis	Earl Zablackis
E. Zablaekis	Earl Zablackis
Earl Zablackis	Earl Zablackis
Ecological Survey	Ecological Survey
Ecological Surveya	Ecological Survey
Ecology Survey	Ecological Survey
Edgardo Corp's	Edgardo
Edgardo Ortiz	Edgardo Ortiz
Edith L. Stephens	Edith L. Stephens
Edler	Edler
Edna Snow	Edna Snow
Eduard	Eduardo
Eduardo	Eduardo
Eduardo Quisumbing	Eduardo Quisumbing
Eduardo Villouta	Eduardo Villouta
Edward Bornet	Edward Bornet
Eduard Graeffe	Edward Graeffe
Edward Graeffe	Edward Graeffe
Edward Palmer	Edward Palmer
Edwin A. Davis	Edwin A. Davis
Edwin Cheel	Edwin Cheel
Edwin Faxon	Edwin Faxon
Edwin Joyce	Edwin Joyce
Edwin Moul, M. Doty	Edwin Moul, M. Doty
Edwin T. Moul	Edwin T. Moul
Edwin T. Moul, Banner, Strasburg, Cloud	Edwin T. Moul, Banner, Strasburg, Cloud
Edwin T. Moul, Cloud, Strasburg	Edwin T. Moul, Cloud, Strasburg
Edwin T. Moul, H. Banner	Edwin T. Moul, H. Banner
Edwin T. Moul, P. Cloud	Edwin T. Moul, P. Cloud
Edwin T. Moul, P.E. Cloud, Jr.	Edwin T. Moul, P. E. Cloud Jr.
Egil Baardoith	Egil Baardseth
Egil Baardseth	Egil Baardseth
Eilenburg	Eilenburg
Elaine Brigam	Elaine Brigham
Elaine Brigham	Elaine Brigham
Brother Elias	Elias
Elinor Vallentin	Elinor Vallentin
Elis Kol	Elis. Kol.
Elis. Kol.	Elis. Kol.
Elisabeth May	Elisabeth May
Elise Conway	Elise Conway
Elizabeth Gulick	Elizabeth Gulick
Ella Levy	Ella Levy
Elliott Coues, Edward Palmer	Elliott Coues, Edward Palmer
Ellis & Solander	Ellis, Solander
Ellsworth Bethel	Ellsworth Bethel
Elmer D. Merrill	Elmer D. Merrill
Eloise Butler	Eloise Butler
Elsie Conway	Elsie Conway
Elzada U. Clover	Elzada U. Clover
Emil Kühn	Emil Kuhn
Emil Olin	Emil Olin
Emil Sandsten	Emil Sandsten
Emil Sella	Emil Sella
Emma Cerrate	Emma Cerrate
Emma Cerrate, S. Cruz	Emma Cerrate, S. Cruz
End'	Endes
Endes	Endes
Endrefs	Endress
Endress	Endress
Engard, Lois L. Eubank	Engard, Lois L. Eubank
Erkmann, Schmidle	Erkmann, Schmidle
Erling Christophersen	Erling Christophersen
Eranani G. Meñez	Ernani G. Menez
Ernani G Meñez	Ernani G. Menez
Ernani G. Menez	Ernani G. Menez
Ernani G. Meñez	Ernani G. Menez
Ernani Menez	Ernani G. Menez
Ernest Braunton	Ernest Braunton
Ernest J. Palmer	Ernest J. Palmer
Ernesto Foldats	Ernesto Foldats
Estable and Herter	Estable, Herter
Esteban Callado	Esteban Callado
Esteban G. Gallado	Esteban Callado
Eugenio Fenix	Eugenio Fenix
Eugenius Fenix	Eugenio Fenix
Eva Östrand	Eva Ostrand
Evans	Evans
Evans, G. F. Papenfuss	Evans, G. F. Papenfuss
Eve Laeger, Carolyn Parker, Page Spencer, Stacy Studebaker	Eve Laeger, Carolyn Parker, Page Spencer, Stacy Studebaker
Ezil Baardseth	Ezil Baardseth
F. A. Berkley	F. A. Barkley
F. A. Berkley, L. A. Ripperton	F. A. Barkley, L. A. Ripperton
F. A. Barkley, R. A. Diettert	F. A. Barkley, R. A. Diettert
F. A. Curtiss	F. A. Curtiss
F. A. McClure	F. A. McClure
F. A. McNeill	F. A. McNeill
F. Alton Everest	F. Alton Everest
F. Ardissone	F. Ardissone
F. Bæhrendtz	F. Baehrendtz
Dr. Fr. Baglietto	F. Baglietto
F. Baglietto	F. Baglietto
F. Baglietto, A. Piccone	F. Baglietto, A. Piccone
Dr. F. Balsamo	F. Balsamo
F. Balsamo	F. Balsamo
F. Berger	F. Berger
F. Bergesen	F. Borgesen
F. Boegesen	F. Borgesen
F. Boergensen	F. Borgesen
F. Boergesen	F. Borgesen
F. Borgensen	F. Borgesen
F. Borgesen	F. Borgesen
F. Börgesen	F. Borgesen
F. Børgesen	F. Borgesen
F. Borgesen, O. Hansen	F. Borgesen, O. Hansen
F. Brand	F. Brand
F. C. Frye	F. C. Frye
F. C. Muller-Melchers	F. C. Muller-Melchers
F. C. Seymour	F. C. Seymour
F. C. Seymour, L.A. Charette	F. C. Seymour, L. A. Charette
F. Cavara	F. Cavara
F. Chalker	F. Chalker
F. Cohn	F. Cohn
F. D. Kelsey	F. D. Kelsey
F. D. Lambert	F. D. Lambert
Dr. F. Debray	F. Debray
F. Debray	F. Debray
F. Drouet	F. Drouet
F. Drouet, P. C. Standley, & J. A. Steyermark	F. Drouet, P. C. Standley, and J. A. Steyermark
F. Drouet, R. Patrick, C. Hodge	F. Drouet, R. Patrick, C. Hodge
F. E. Allison	F. E. Allison
Fr. Ekman	F. Ekman
F. Evans	F. Evans
F. F. Pedroche	F. F. Pedroche
F. Feldmann	F. Feldmann
Dr. F. Felippone	F. Felippone
F. Fenix	F. Fenix
F. Filarszky	F. Filarszky
F. Filárszky	F. Filarszky
Fred. Filárszky	F. Filarszky
F. Filarszky, J. B. Kummerle	F. Filarszky, J. B. Kummerle
F. Filarszky, J. B. Kümmerle	F. Filarszky, J. B. Kummerle
F. Förster	F. Forster
F. Förster, K. Kopp	F. Forster, K. Kopp
F. Franco	F. Franco
F. G. C. Ryder	F. G. C. Ryder
F. G. Dayrit	F. G. Dayrit
F. G. de Robiani	F. G. de Robiani
F. H. Billings	F. H. Billings
F. H. Rose	F. H. Rose
F. H. Rose, Fred A. Barkley	F. H. Rose, Fred A. Barkley
F. H. Rose, M. Forbes	F. H. Rose, M. Forbes
Dr. F. Hauck	F. Hauck
F. Hauck	F. Hauck
F. Heydrich	F. Heydrich
F. Hy	F. Hy
F. Hy.	F. Hy
F. Jadin	F. Jadin
F. K. Daily	F. K. Daily
F. K. Daily, W. A. Daily	F. K. Daily, W. A. Daily
F. K. Luke	F. K. Luke
F. Krasser	F. Krasser
F. Kreifcher	F. Kreifcher
F. Kutzing	F. Kutzing
F. L. G.	F. L. G.
F. L. Sargent	F. L. Sargent
F. L. Stevens	F. L. Stevens
F. L. Washburn	F. L. Washburn
F. L. Wells	F. L. Wells
F. Liljeholm	F. Liljeholm
F. Lindheimer	F. Lindheimer
F. Loscos	F. Loscos
F. M. A.	F. M. A.
F. M. Bailey	F. M. Bailey
F. M. v. Niekerk	F. M.V. Niekerk
F. Matouschek	F. Matouschek
F. Miiller	F. Mueller
F. Mueller	F. Mueller
F. Müller	F. Mueller
F. N. Blanchard	F. N. Blanchard
F. Negri	F. Negri
F. O. Grover	F. O. Grover
F. P. Metcaff	F. P. Metcaff
F. Pagan	F. Pagan
F. Pagán	F. Pagan
Fco. Pagaán	F. Pagan
Fco. Pagán	F. Pagan
F. Pagan, A. H. S. Lucas	F. Pagan, A. H. S. Lucas
F. Pagan, M. Pagan	F. Pagan, M. Pagan
F. Pagán, M. Pagán	F. Pagan, M. Pagan
F. Pax, G. Hieronymus	F. Pax, G. Hieronymus
F. Parriu	F. Perrin
F. Perrin	F. Perrin
F. Parriu and A. H. S. Lucas	F. Perrin, A. H. S. Lucas
F. Parriu and A. H. S. Lucas, A. H. S. Lucas	F. Perrin, A. H. S. Lucas
F. Parriu, A. H. S. Lucas	F. Perrin, A. H. S. Lucas
F. Perrin and A. H. S. Lucas	F. Perrin, A. H. S. Lucas
F. Perrin, A. H. F. Lucas	F. Perrin, A. H. S. Lucas
F. Perrin, A. H. S. Lucas	F. Perrin, A. H. S. Lucas
F. Pfeiffer de Welleim	F. Pfeiffer de Wellheim
F. Pfeiffer de Wellheim	F. Pfeiffer de Wellheim
F. Pfeiffer v. Wellheim	F. Pfeiffer de Wellheim
F. Quisumbing	F. Quisumbing
F. R. Fosberg	F. R. Fosberg
F. R. Fosburg	F. R. Fosberg
F. R. Fosberg, Alfred Metraux	F. R. Fosberg, Alfred Metraux
F. R. Fosberg, E. M. Metraux	F. R. Fosberg, E. M. Metraux
F. R. Fosberg, K. Druken	F. R. Fosberg, K. Duker
F. R. Fosberg, K. Duker	F. R. Fosberg, K. Duker
F. R. Fosburg, K. Druken	F. R. Fosberg, K. Duker
F. R. Fosburg, K. Duker	F. R. Fosberg, K. Duker
F. R. Kjellman	F. R. Kjellman
F. R. Kjellmanqs	F. R. Kjellman
F. R. Vyiliman	F. R. Kjellman
F. S. Areshoug	F. S. Areshoug
F. S. Collin	F. S. Collins
F. S. Collins	F. S. Collins
F. S. Collinss	F. S. Collins
F.S. Collins (most likely)	F. S. Collins
F. S. Collins, Pease and Butler	F. S. Collins, Pease, Butler
F. S. Collins and W. A. Setchell	F. S. Collins, W. A. Setchell
F. S. Collins, W. A. Setchell	F. S. Collins, W. A. Setchell
F. S. Collins, W. A. Weber	F. S. Collins, W. A. Weber
F. S. Earle, Esther S. Earle	F. S. Earle, Esther S. Earle
F. S. Kannenberg	F. S. Kannenberg
F. S. L.	F. S. L.
Fr. Schmitz	F. Schmitz
F. Stizenberger	F. Stizenberger
F. T. Kutzing	F. T. Kutzing
F. T. Kützing	F. T. Kutzing
F. T. Kützing, A Br.	F. T. Kutzing
F. V. Hayden	F. V. Hayden
F. V. Wettstein	F. V. Wettstein
F. Vivas, Z. E. Roma	F. Vivas, Z. E. Roma
F. von Mueller	F. Von Mueller
F. von Muller	F. Von Mueller
F. von Müller	F. Von Mueller
Ferd, Von Mueller	F. Von Mueller
