old value	new value
A. N. Steward	A. N. Steward
A. Nájera	A. Najera
A. Nickelson	A. Nickelson
Alb. Nilsson	A. Nilsson
A. Noblet	A. Noblet
A. Garrett	A. O. Garrett
A. O. Garrett	A. O. Garrett
A. P.	A. P.
A. P. Anderson	A. P. Anderson
A. P. D. Piguet	A. P. D. Piguet
A. P. D. Piquet	A. P. D. Piquet
A. P. Winslow	A. P. Winslow
A. Petrocelli	A. Petrocelli
A. Piccone	A. Piccone
A. Piccone, F. Baglietto	A. Piccone, F. Baglietto
A. R. Bechtel	A. R. Bechtel
A. R. Sweeker	A. R. Sweeker
A. Rapelis	A. Raphelis
A. Raphélis	A. Raphelis
A. Roettig	A. Roettig
A. Röfe	A. Rofe
A. S. Foster	A. S. Foster
A. S. Hitchcock	A. S. Hitchcock
A. S. L.	A. S. L.
Ant. Sauter	A. Sauter
A. Schaeman	A. Schoeman
A. Schreman	A. Schoeman
A. Schaeman, A. V. Duthie	A. Schoeman, A. V. Duthie
A. Schoeman, A. V. Duthie	A. Schoeman, A. V. Duthie
A. Schreman, A. V. Duthie	A. Schoeman, A. V. Duthie
A. Schultze	A. Schultze
A. Simonyi	A. Simonyi
A. Sutherland	A. Sutherland
A. T. Cleve	A. T. Cleve
A. T. Cross, J. Tucker, W. A. Daily	A. T. Cross, J. Tucker, W. A. Daily
Ant. Topitz	A. Topitz
A. Tubb	A. Tubb
A. V. Duthie	A. V. Duthie
Dr. A. V. Duthie	A. V. Duthie
A. Vicker	A. Vickers
A. Vickers	A. Vickers
A. W. Greeley, R. E. Snodgrass	A. W. Greeley, R. E. Snodgrass
A. W. Ravenel's	A. W. Ravenel
A. Weber	A. Weber
A. W. v. B.	A. Weber-van Bosse
A. W. van Bosse	A. Weber-van Bosse
A. Weber van Bosse	A. Weber-van Bosse
A. Weber Van-Bosse	A. Weber-van Bosse
A. Weber-van Bosse	A. Weber-van Bosse
A. Weber, van Bosse	A. Weber-van Bosse
A. Weber, van Bosse.	A. Weber-van Bosse
A. Zaratin	A. Zaratin
A. Zratin	A. Zaratin
A. Zinova	A. Zinova
Abbé E. Violleau	Abbe E. Violleau
Abbott, Lois L. Eubank	Abbott, Lois L. Eubank
Abel Hare	Abel Hare
Abel Hore	Abel Hare
Abel Senties G.	Abel Senties G.
Ada Hayden	Ada Hayden
Adolph Leipner	Adolph Leipner
Agardh	Agardh
Agnes Brennan	Agnes Brennan
Akemi Arai	Akemi Arai
Akio Miara	Akio Miara
Akira F. Peters	Akira F. Peters
Albatross Expedition	Albatross Expedition
Albert E. Vatter	Albert E. Vatter
Albert E. Vatter, Jr.	Albert E. Vatter Jr.
Albert J. Bernatowicz	Albert J. Bernatowicz
Albert J. Bernatowitz	Albert J. Bernatowicz
Albert John Bernatowicz	Albert John Bernatowicz
Albert Schneider	Albert Schneider
Albin Johnson	Albin Johnson
Alex Frid	Alex Frid
Alex Lasseigne	Alex Lasseigne
Alex Moe	Alex Moe
Alex W. Evans	Alex W. Evans
Dr. Alfred G. Mayor	Alfred G. Mayor
Alfred Price	Alfred Price
Alfredo H. Llaña	Alfredo H. Llana G.
Alfredo H. Llaña G.	Alfredo H. Llana G.
Alida Ortiz-Sotomayor	Alida Ortiz-Sotomayor
Alida Ortiz, E. Ortiz	Alida Ortiz, Edgardo Ortiz
Alida Ortiz, Edgardo Corp's	Alida Ortiz, Edgardo Ortiz
Alida Ortiz, Edgardo Ortiz	Alida Ortiz, Edgardo Ortiz
Alison Wilson	Alison Wilson
Allen	Allen
Allyn G. Smith	Allyn G. Smith
Alumnos Fac. Ciencias	Alumnos Fac. Ciencias
Amali Diedrich	Amalia Dietrich
Amalia Diereich	Amalia Dietrich
Amalia Dietrich	Amalia Dietrich
Amalie Dietrich	Amalia Dietrich
American Agar Co. San Diego	American Agar Co. San Diego
American Ager Co. San Diego	American Agar Co. San Diego
Amoy	Amoy
Anderson	Anderson
Andrew E. Rehm	Andrew E. Rehm
Angel C. Gonzales	Angel C. Gonzalez
Angel C. Gonzalez	Angel C. Gonzalez
Ange Gonzalez	Angel Gonzalez
Angel Gonzalez	Angel Gonzalez
Angel González	Angel Gonzalez
Angel Maldonado	Angel Maldonado
Angelo Mazza	Angelo Mazza
Anna Faull	Anna Faull
Anna Vickers	Anna Vickers
Anna Vickers, A. Henderson	Anna Vickers, A. Henderson
Anna Weber-van Bosse	Anna Weber-van Bosse
Anne Estelle Orr	Anne Estelle Orr
Anne Hof	Anne Hof
Anne L. Pates	Anne L. Pates
Annetta Carter	Annetta Carter
Annetta Carter, Annie M. Alexander, Louise Kellogg	Annetta Carter, Annie M. Alexander, Louise Kellogg
Annie M. Alexander, Louise Kellogg	Annie M. Alexander, Louise Kellogg
Antonio Cabrera	Antonio Cabrera
Anwar Abdel Aleem	Anwar Abdel Aleem
Anzi	Anzi
Ardissone	Ardissone
Ardisssone	Ardissone
Arechavaleta	Arechavaleta
Areschong	Areschoug
Areschoug	Areschoug
Areschouw	Areschoug
Arthur K. Nash	Arthur Nash
