1	#################################################################												
2	# DWC to Cspace field name mapping												
3	# being a specification of how to match DarwinCore fields to UCJEPS Cspace fields												
4	# Columns												
5	# 	A	sequence number. Only facultative.										
6	# 	B	DWC field name										
7	# 	C	Cspace fieldname										
8	# 	D	context tag (currently unused)										
9	# 	E	datatype of the element										
10	# 	F	type of check to peform										
11	# 	G	Cspace authority name (including CSID)										
12	# 	H	Remarks (ignored by the program)										
13	# 												
14	#################################################################												
15	# v0.9 jbl 12/26/18												
16	#################################################################												
17	# Darwin Core field name	Cspace collectionobject tag	context tag	data type	type of check	authority	remarks						
117	# fields in collectionobject record												
118		affinityTaxon					cspace field only						
119		annotationAuthor					cspace field only						
120		annotationDate					cspace field only						
121		annotationNote					cspace field only						
122		annotationType					cspace field only						
123		assocActivity					cspace field only						
124		assocActivityNote					cspace field only						
125		assocActivityType					cspace field only						
126		assocConcept					cspace field only						
127		assocConceptNote					cspace field only						
128		assocConceptType					cspace field only						
129		assocCulturalContext					cspace field only						
130		assocCulturalContextNote					cspace field only						
131		assocCulturalContextType					cspace field only						
132		assocDateNote					cspace field only						
133		assocDateType					cspace field only						
134		assocEventOrganization					cspace field only						
135		assocEventPeople					cspace field only						
136		assocEventPerson					cspace field only						
137		assocEventPlace					cspace field only						
138		assocObject					cspace field only						
139		assocObjectNote					cspace field only						
140		assocObjectType					cspace field only						
141		assocOrganization					cspace field only						
142		assocOrganizationNote					cspace field only						
143		assocOrganizationType					cspace field only						
144		assocPeople					cspace field only						
145		assocPeopleNote					cspace field only						
146		assocPeopleType					cspace field only						
147		assocPerson					cspace field only			using for Associated Collectors for now			
148		assocPersonNote					cspace field only						
149		assocPersonType					cspace field only						
150		assocPlace					cspace field only						
151		assocPlaceNote					cspace field only						
152		assocPlaceType					cspace field only						
153		assocStructuredDateScalar					cspace field only						
154		assocStructuredDateVerbatim					cspace field only						
155		briefDescription					cspace field only						
156		collection					cspace field only						
157		collectionLocationVerbatim					cspace field only						
158		collectionPlace					cspace field only						
159		color					cspace field only						
160		comment					cspace field only						
161		commonName					cspace field only						
162		contentActivity					cspace field only						
163		contentConcept					cspace field only						
164		contentDateScalar					cspace field only						
165		contentDateVerbatim					cspace field only						
166		contentEventName					cspace field only						
167		contentEventNameType					cspace field only						
168		contentLanguage					cspace field only						
169		contentObject					cspace field only						
170		contentObjectType					cspace field only						
171		contentOrganization					cspace field only						
172		contentOther					cspace field only						
173		contentOtherType					cspace field only						
174		contentPeople					cspace field only						
175		contentPerson					cspace field only						
176		contentPlace					cspace field only						
177		contentPosition					cspace field only						
178		contentScript					cspace field only						
179		coordPrecision					cspace field only						
180		coordUncertainty					cspace field only						
181		createdAt					core						
182		createdBy					core						
183		cultivated					cspace field only						
184		dimension					cspace field only						
185		dimensionNote					cspace field only						
186		dimensionSummary					cspace field only						
187		distribution					cspace field only						
188		donorDateScalar					cspace field only						
189		donorDateVerbatim					cspace field only						
190		elevationUnit					cspace field only						
191		fieldColEventName					cspace field only						
192		fieldCollectionDateScalar					cspace field only						
193		fieldCollectionDateVerbatim					cspace field only						
194		fieldCollectionMethod					cspace field only						
195		fieldCollectionNote					cspace field only						
196		fieldCollectionNumber					cspace field only						
197		fieldCollectionNumberAssignor					cspace field only						
198		fieldCollectionSource					cspace field only						
199		fieldLocHigherGeography					cspace field only						
200		fieldLocPlace					cspace field only						
201		filledDate					cspace field only						
202		footprintSpatialFit					cspace field only						
203		footprintSRS					cspace field only						
204		footprintWKT					cspace field only						
205		form					cspace field only						
206		geoRefDateScalar					cspace field only						
207		geoRefDateVerbatim					cspace field only						
208		geoRefencedBy					cspace field only						
209		geoRefPlaceName					cspace field only						
210		geoRefRemarks					cspace field only						
211		hybridFlag					cspace field only						
212		hybridParent					cspace field only						
213		hybridParentQualifier					cspace field only						
214		identDateScalar					cspace field only						
215		identKind					cspace field only						
216	interaction	interaction		static		associatedTaxaInteractions	cspace field only						
217		inventoryStatusList					cspace field only						
218		labelHeader					cspace field only						
219		localityNote					cspace field only						
220		localitySource					cspace field only						
221		localitySourceDetail					cspace field only						
222		localName					cspace field only						
223		localNameLanguage					cspace field only						
224		material					cspace field only						
225		materialComponent					cspace field only						
226		materialComponentNote					cspace field only						
227		materialName					cspace field only						
228		materialSource					cspace field only						
229		materialType					cspace field only						
230		maxDistanceAboveSurface					cspace field only						
